,Filter: 200A max (per ESC); 260A max (per parallel Battery).,Motor,Battery,Drive System,Speed Control
39,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
40,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
41,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
42,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
43,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
44,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
45,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
46,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
47,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
48,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
49,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
50,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
51,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
52,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
53,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
54,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
55,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
56,,Plettenberg HP 370/50/A2; 360rpm/V; 1.706A no-load; 0.066 Ohms.,Thunder Power TP5200 (G4 ProRace 50C) (50C); 12 cells; 5200mAh @ 3.7V; 0.001 Ohms/cell.,15/700 Direct Drive Propellers; 4 motors (parallel); 4 motors/prop; 8x9 (Pconst=1.31; Tconst=0.95) direct drive.,Suppo 200A; 4 controls (separate); 0.0008 Ohms; High rate.
